id,embedding,reduced_embedding
1761,"[-2.01701212 -1.55598891 -4.47048473  3.30404043  0.44941097  0.16949774
  1.86802316  0.46610853 -2.81563997 -2.04555821 -1.05603516 -2.31218362
 -4.31981945 -0.13293052 -2.57404304  0.32031786]",[-8.780907   4.6381783]
2103,"[-2.2407825  -1.42197335 -1.76134241  3.38970637  1.58000517 -1.87742877
  3.48917508 -0.57658148 -2.25116372  1.27261293 -0.56490117 -1.55015051
 -3.97707963  1.01260519 -1.3450886   0.45985082]",[ -5.7404404 -12.240082 ]
1877,"[-2.02741265  0.0694515  -4.00003052  2.56679654  2.51841497 -0.88263661
  2.68452072 -1.1917758  -3.1442709  -1.01770997 -1.26611304 -0.82582319
 -5.31501055  1.38104117 -0.62553805  1.15152836]",[-7.7341056 -2.7795901]
2171,"[-2.83988643  0.02707334 -1.06164801  3.84627509  0.7299521  -1.15271497
  3.06858969 -0.86374331 -1.91080952  2.87726498 -2.73329282 -2.13280702
 -2.84508967  3.04617167 -4.35751247  0.08341659]",[ -3.70562  -21.892893]
1930,"[-2.30857086  1.17946732 -3.42407751  2.84150243  0.38082868 -1.28953123
  2.66027236  0.54291242 -3.90108323  0.46152392 -0.27936807 -1.92014647
 -4.99696398 -0.6982075  -1.60464621  0.29867539]",[-16.902248   1.3276  ]
2173,"[-2.45835471  0.60347348 -0.9129917   3.95137906  0.26933777 -1.17005336
  2.91197133 -0.85014004 -2.56298256  3.81843948 -2.4772892  -2.38699794
 -3.10010123  2.55285263 -4.60432529  0.66990155]",[ -3.5203986 -21.212708 ]
1850,"[-1.6984874  -1.16001463 -2.30241227  2.49861217  1.57789028 -1.2715348
  3.75148129 -2.09379101 -1.88330877  1.76161647 -1.23760748 -1.04157078
 -3.16585755  0.95379257 -1.41820335  0.21607652]",[  4.21633  -10.673239]
2254,"[-1.29889405 -1.72663069 -3.29942346  3.01307797  0.97366065 -0.66983128
  3.76472878 -1.51062548 -1.61814773  0.53158349 -1.81863379 -1.05894625
 -3.2258575   0.43172869 -1.19824064  0.0061965 ]",[  0.6213754 -10.835312 ]
1920,"[-0.91523385 -1.86447394 -3.0861845   2.74662256  2.31302857 -1.76756155
  3.58099461 -4.68347597 -1.53714919  0.50542533 -3.29347801  0.15955277
 -3.32528925  1.23941553 -1.48250353 -0.53268993]",[ 8.312859  -5.7813935]
2106,"[-2.77450204 -1.76481557 -4.02379227  2.60524392  1.2817992  -0.20280203
  2.59388804 -0.08834094 -1.44693327 -2.81129122 -2.12863517 -1.33415258
 -4.61818361 -0.52228427 -2.87756562 -0.61715335]",[ 4.6723943 26.369417 ]
2268,"[-1.44010794 -0.45068759 -3.46546817  3.27185202 -0.38929519 -1.18170226
  3.37003183 -0.61850631 -2.24211645  0.72888529 -1.60528851 -1.18763554
 -2.89452171  0.17817585 -2.80134892 -0.7581113 ]",[  1.4113157 -15.066456 ]
1688,"[-2.00447202 -3.12182975 -3.57805824  2.54152298  0.90952456 -0.32938269
  3.06612587 -1.28183472 -0.91771084 -1.65971172 -2.57885242 -2.35351157
 -3.31688523 -0.71172774 -2.96382475 -1.4171356 ]",[10.480538 26.264051]
1626,"[-2.09579873  0.38307562 -5.06659794  2.91109562  0.04562566 -0.70557517
  2.38642931  1.26533008 -4.30651569 -1.47255528 -0.54486221 -1.24503088
 -5.15070629 -0.57614893 -1.51881254  0.08795139]",[-12.835278    3.1637843]
1632,"[-1.54545879  1.15307593 -4.97059155  3.47478342  0.65526062 -0.32266366
  1.78708935  0.36599743 -4.1073947  -0.67287397 -0.31497005 -0.79369497
 -5.26118135  0.78452468 -1.61817968  1.42518198]",[-12.460922    0.2380533]
1928,"[-2.27831268  1.11332428 -2.82435846  2.79343224  0.9487586  -0.70647836
  2.2537694   0.84705216 -3.41810703  0.23674163 -0.22246471 -1.91830134
 -4.88596678  0.23790081 -2.38078332  1.31188655]",[-18.02205    -0.5310345]
1830,"[-2.10926723 -0.50404406 -1.86445296  2.02120852  1.78446937 -0.74782193
  3.06618524  0.08600783 -2.11092877  1.1886605  -0.23532347 -3.40782952
 -5.11666727  0.54986888 -2.34520388  1.07005358]",[-13.806663 -14.317397]
1715,"[-2.53134394 -1.60844147 -3.41587329  2.41742206  1.56464088 -0.00992395
  2.65512633 -0.37377852 -1.40321851 -2.67006421 -2.91680694 -1.24774992
 -4.34282827  0.29645872 -2.97521329 -0.59815645]",[ 3.656426 26.179234]
1764,"[-1.46406543 -0.60060114 -5.0892005   3.94665504 -0.10649106 -1.06330216
  2.18607068 -0.07769796 -3.47232938 -1.37084723 -0.94193256 -1.26687205
 -4.08473063 -0.26793331 -1.17957187  0.9560979 ]",[-11.22957     3.9080582]
1838,"[-2.10144687 -2.96515727 -3.34780455  2.115345    1.2631551  -0.69404286
  3.09937668 -0.83428657 -1.19143987 -1.43070757 -1.9354049  -2.63228059
 -3.38030601 -1.02904248 -2.73754716 -0.87208176]",[10.233694 25.140047]
2217,"[-1.43734837 -0.73049325 -2.96333504  3.09120035  1.24248397 -1.44556201
  2.50832796 -0.99487752 -3.63000345 -0.09088758 -1.24256861 -1.53143978
 -4.81676531  1.33428538 -0.69551635  1.59925365]",[-8.313404 -4.886346]
1684,"[-2.60990357 -2.44249415 -3.45909929  1.96332371  1.02280819  0.0189462
  2.80339694 -0.6975342  -0.55797303 -1.76838088 -2.70521355 -2.35493469
 -3.17209864 -1.24529517 -4.45433331 -1.79368818]",[11.621221 28.545612]
1936,"[-1.03989577 -0.9424141  -3.54259968  2.30698681  2.62071538 -0.47872961
  2.64903593 -1.38379157 -2.78888607 -0.21654454 -0.7189396  -0.56147379
 -5.29999208  1.13203955 -0.74003518  1.40853262]",[-6.569348  -3.9882858]
2243,"[-0.53091395 -2.4757483  -3.16853833  3.08406711  1.06968021 -1.38573611
  3.64417005 -2.23931837 -1.20188808  1.2206291  -2.23133969 -1.02276993
 -2.69372225 -0.14065517 -0.96935004 -1.04290807]",[ 1.0888286 -9.275948 ]
2261,"[-1.91922009 -2.27909851 -0.93003654  2.62643003  1.8312043  -1.55747163
  4.12115526 -2.35829163 -0.76861668  1.75126064 -1.55107081 -1.5651226
 -3.29659796  1.45442235 -2.28682327 -0.26276666]",[ 2.9193828 -6.9863095]
1794,"[-2.1047709   0.41253299 -3.96435285  2.33147001  1.43024051 -0.72437358
  2.60281467  0.44383487 -3.24753404 -0.35059127 -0.08269853 -1.54486895
 -5.18563795  0.33919224 -1.43779111  1.30725384]",[-13.372048   -1.1203233]
2076,"[-1.18040645 -1.7981286  -2.71859527  2.67680454  2.69451571 -1.66147852
  3.43286252 -4.31794643 -2.19318247  0.89538407 -2.92153668  0.14684001
 -3.21581578  2.11531019 -1.69367003  0.277334  ]",[ 8.026203 -5.849776]
2182,"[-1.25148034 -1.08117437 -4.06848001  3.94735765 -1.03802979 -0.38569465
  2.27605605 -3.46577907 -1.32021379  0.41341177 -3.98253918 -1.06302619
 -0.39217332  1.15832341 -4.33298969 -1.62255931]",[14.721107   3.0944886]
1879,"[-2.99233127 -1.30722713 -3.33385396  2.1795013   0.69028771  0.16000883
  2.39366603  0.29600748 -1.59183514 -2.16018271 -2.09355688 -1.95527351
 -3.54019165 -0.28838408 -3.60710406 -1.1068145 ]",[ 5.753411 28.15386 ]
1612,"[-1.79722989  0.68693137 -4.72254992  3.46204448  0.50189781 -0.58276445
  1.94061446  0.30941221 -4.03645182 -0.75505102 -0.25664145 -1.72767675
 -5.1606555  -0.02151494 -1.77787602  0.91442293]",[-13.181662    1.2478822]
1974,"[-2.38276076 -2.82089233 -3.68234324  2.40931344  0.3282254  -0.06814421
  2.71694183 -0.67807996 -0.6133005  -1.01900196 -2.24645185 -3.18448091
 -2.59297276 -1.26462281 -4.52827215 -1.53078485]",[12.571127 31.40906 ]
1667,"[-1.84690714 -1.33538723 -2.54136586  2.38865662  1.77746284 -1.31814623
  2.93054581 -1.88965619 -2.17331982  0.28612483 -0.73292547 -2.07339597
 -4.34385157  0.24875434 -1.75034916  0.19006626]",[-3.4761798 -7.309876 ]
1656,"[-1.83312869 -1.14581454 -2.20626211  2.54531765  1.97522712 -1.70980942
  2.86669993 -2.1111536  -2.03330207  0.25235331 -0.95695704 -1.39191127
 -4.14305973  0.92917615 -1.81851816  0.08061803]",[-3.2339745 -7.3925834]
1831,"[-1.61374426 -0.30563283 -2.29363942  2.29316926  1.4341203  -1.10404646
  2.84489918 -0.76032645 -2.93064213  1.91795039 -0.16606036 -3.49965787
 -4.95353842  0.16569085 -2.40842509  1.07493567]",[-13.094398 -14.880548]
1870,"[-2.06044769 -0.68074387 -1.74097085  1.97551048  1.15155149 -1.19361794
  2.97231054 -0.14915165 -2.20592737  1.04898584 -0.64173788 -2.93333483
 -4.70029879 -0.21750498 -2.29373884  0.08747206]",[-12.953606 -13.46159 ]
1804,"[-2.25196362 -1.34987628 -1.69768322  2.37600565  2.20655656 -1.03389871
  2.8279109  -1.07133818 -2.12762427  1.41101205 -0.33082831 -3.13671589
 -4.54534578  0.91055316 -2.04657483  0.63689637]",[-11.666313 -15.498343]
2271,"[-1.04840553 -0.97984976 -4.34101343  3.37199569 -1.42530429 -0.37219924
  2.40152264 -3.30540085 -0.89161819 -0.2179732  -3.86973715 -0.83085513
 -0.48581693  0.58107096 -4.78033495 -1.72550499]",[15.043155   3.3877892]
2092,"[-1.84051013 -0.38087621 -2.82457042  3.01559734  0.94118506 -1.73664248
  2.91894507 -0.97330874 -3.40738821  0.70075357 -0.83969587 -1.7072432
 -4.89287901  0.4050245  -0.77756661  0.94982338]",[-8.039913 -6.765949]
1960,"[-1.92638314 -3.35710835 -3.63009787  2.70501995  0.36796984  0.11562891
  2.53858256 -1.02917755 -0.66181946 -1.46833539 -2.24944615 -3.10015392
 -2.78037691 -0.98254502 -3.93472695 -1.61461425]",[13.313395 32.8186  ]
2158,"[-2.05410838 -0.20300272 -1.80334187  3.79391813  1.03035164 -1.86570394
  3.62277675 -0.55784547 -3.19642377  2.36429787 -1.54267311 -1.10322428
 -4.63558674  1.68425047 -1.89642799  0.64929628]",[ -6.619593  -15.2358265]
