id,embedding,reduced_embedding
1979,"[-1.84550524 -2.80655122 -0.97371197  3.37989473  1.9611814  -1.44934726
  3.77093601 -3.16073179 -1.41475892  1.51623678 -2.18951154 -1.10291946
 -3.26587129  2.40958714 -2.24366999  0.04642894]",[ 6.8702345 -3.424243 ]
1972,"[-1.6358211  -3.42341828 -4.18093348  2.71612239  0.33415961  0.11067508
  2.31720686 -1.33918869 -0.56097561 -1.79458725 -2.3793571  -3.27878451
 -2.85253048 -1.54615414 -3.91825509 -1.69319069]",[13.988141 34.362625]
1781,"[-2.61004877 -1.78612006 -1.8343513   3.30094647  1.32942045 -2.28236985
  3.82254004 -0.8054238  -1.74487269  1.83524096 -0.58864486 -1.8093214
 -3.63867211  0.56124449 -1.40801597 -0.13000862]",[ -4.683319 -13.022305]
2274,"[-1.37264824 -1.1082865  -3.67494988  2.01301742  0.56241995 -0.89315122
  3.88389921 -0.34346813 -2.02750611  0.61151809 -0.84469742 -1.05352855
 -3.04219913  0.10201854 -1.5777235  -0.62157971]",[  1.1039778 -13.396816 ]
1933,"[-1.51777768 -1.13515806 -2.9077301   3.05129528  2.84157562 -0.35609317
  2.6001792  -3.41999435 -1.89990807  0.34921178 -2.42054129 -0.48609608
 -3.43429542  2.93112969 -2.34437346  1.14069211]",[ 6.554996  -5.8063316]
1611,"[-1.82501495 -0.19967547 -4.2738986   2.66120768  0.21576634 -0.31281227
  2.30923128  0.48112041 -3.29389048 -0.86851615 -1.08397782 -1.30212939
 -4.26119423  0.2180173  -1.72146916  0.75436318]",[-10.816565    2.7153397]
2263,"[-0.85447001 -0.86246723 -2.93813157  2.31572032  0.93754411 -1.21386743
  3.61084628 -2.1312325  -1.87375033  0.49062663 -1.76762247 -0.16569711
 -3.80736566  0.58689237 -1.03167248 -0.24646652]",[ 0.2287858 -9.969513 ]
1648,"[-1.87153387 -0.55905336 -3.933635    2.92037535 -0.28691778 -1.39012051
  3.32444167  1.03736591 -3.2669642  -0.33010608 -0.60630751 -0.90066582
 -4.60033894 -0.16642541 -1.09495246  0.14442681]",[-13.152933    4.8429656]
1807,"[-2.69791889  1.81717825 -3.68445206  2.42526579  0.52159768 -1.25255704
  2.37706089  0.99833894 -3.69373631  0.48745567 -0.23448721 -2.51740456
 -5.22718573  0.50655347 -2.33804655  1.27355492]",[-19.443123    1.3718467]
1883,"[-3.13043451 -1.69571233 -4.13308001  2.41274071  0.67747146 -0.0271253
  2.40004587  0.16713993 -1.36519289 -2.256464   -2.18064451 -2.40563989
 -3.35117459 -0.60292125 -3.48532653 -1.02566826]",[ 6.58722  28.216288]
1783,"[-2.46729612 -0.77570528 -2.33934522  3.16162157  1.38742471 -1.68822432
  3.58524466 -0.32532489 -2.43236327  0.54916954 -0.78575456 -0.93816984
 -3.95350623  0.65482992 -1.75145829  0.60626411]",[ -6.142391 -10.989351]
2152,"[-2.26738453  0.87777442 -3.9131918   2.33371639  0.49246794 -1.43954968
  2.68081903  0.44375706 -3.94619727  0.34764996  0.09443204 -1.30083537
 -4.86914396 -0.55075473 -1.68422568  0.50811988]",[-16.05898     1.6375328]
1701,"[-2.87424827 -1.68818343 -4.18432093  2.44017124  1.10254765 -0.04422822
  2.20298076  0.3051787  -1.89870262 -2.93482733 -2.128829   -1.95714962
 -4.35934258 -0.31042019 -2.60461473 -0.61877096]",[ 5.108047 26.327131]
1680,"[-1.38190806 -2.25665975 -2.68321729  2.13203025  2.11694527 -0.90644127
  3.21168208 -2.334373   -1.88557577  0.24307773 -1.69273067 -1.80169213
 -4.00140905  0.36326882 -1.2471956  -0.18389574]",[-1.3982382 -6.8924227]
1609,"[-2.01407909  1.14175069 -4.62618637  3.46780443  0.67551953 -0.12981662
  1.73841178  0.6668703  -4.24283266 -1.06108344 -0.87286431 -0.80834717
 -5.42805052  1.38944864 -2.14846969  1.3319236 ]",[-11.890937    -0.02693525]
